Data Level,School Year,Facility Type,Public Or Independent,District Number,District Name,School Number,School Name,Has Eng Lang Learner Prog,Has Core French,Has Early French Immersion,Has Late French Immersion,Has Prog Francophone,Has Any French Immersion Prog,Has Any French Prog,Has Aborig Supp Services,Has Other Appr Aborig Prog,Has Aborig Lang And Cult,Has Continuing Ed Prog,Has Distributed Learn Prog,Has Career Prep Prog,Has Coop Prog,Has Apprenticeship Prog,Has Career Technical Prog
SCHOOL LEVEL,2005/2006,STANDARD,BC Public School,5,Southeast Kootenay,501006,Sparwood Secondary,,T,,,,,T,T,,T,,,T,,,
SCHOOL LEVEL,2006/2007,STANDARD,BC Public School,5,Southeast Kootenay,501006,Sparwood Secondary,,T,,,,,T,T,,T,,,T,,,
SCHOOL LEVEL,2007/2008,STANDARD,BC Public School,5,Southeast Kootenay,501006,Sparwood Secondary,,T,,,,,T,T,,T,,,T,,,
SCHOOL LEVEL,2005/2006,STANDARD,BC Public School,5,Southeast Kootenay,501007,Jaffray Elem-Jr Secondary,,T,,,,,T,T,T,T,,,,,,
SCHOOL LEVEL,2006/2007,STANDARD,BC Public School,5,Southeast Kootenay,501007,Jaffray Elem-Jr Secondary,,T,,,,,T,T,,T,,,,,,
SCHOOL LEVEL,2007/2008,STANDARD,BC Public School,5,Southeast Kootenay,501007,Jaffray Elem-Jr Secondary,,T,,,,,T,T,,T,,,,,,
SCHOOL LEVEL,2008/2009,STANDARD,BC Public School,5,Southeast Kootenay,501007,Jaffray Elem-Jr Secondary,,T,,,,,T,T,,T,,,,,,
SCHOOL LEVEL,2009/2010,STANDARD,BC Public School,5,Southeast Kootenay,501007,Jaffray Elem-Jr Secondary,,T,,,,,T,T,,T,,,,,,
SCHOOL LEVEL,2010/2011,STANDARD,BC Public School,5,Southeast Kootenay,501007,Jaffray Elem-Jr Secondary,,T,,,,,T,T,,T,,,,,,
SCHOOL LEVEL,2011/2012,STANDARD,BC Public School,5,Southeast Kootenay,501007,Jaffray Elem-Jr Secondary,,T,,,,,T,T,,T,,,,,,
SCHOOL LEVEL,2012/2013,STANDARD,BC Public School,5,Southeast Kootenay,501007,Jaffray Elem-Jr Secondary,,T,,,,,T,T,,T,,,,,,
SCHOOL LEVEL,2013/2014,STANDARD,BC Public School,5,Southeast Kootenay,501007,Jaffray Elem-Jr Secondary,,T,,,,,T,T,,T,,,,,,
SCHOOL LEVEL,2006/2007,STANDARD,BC Public School,5,Southeast Kootenay,501008,Grasmere Elementary,,,,,,,,T,,T,,,,,,
SCHOOL LEVEL,2007/2008,STANDARD,BC Public School,5,Southeast Kootenay,501008,Grasmere Elementary,,,,,,,,T,,T,,,,,,
SCHOOL LEVEL,2008/2009,STANDARD,BC Public School,5,Southeast Kootenay,501008,Grasmere Elementary,,T,,,,,T,T,,T,,,,,,
SCHOOL LEVEL,2009/2010,STANDARD,BC Public School,5,Southeast Kootenay,501008,Grasmere Elementary,,T,,,,,T,T,,T,,,,,,
SCHOOL LEVEL,2010/2011,STANDARD,BC Public School,5,Southeast Kootenay,501008,Grasmere Elementary,,,,,,,,T,,T,,,,,,
SCHOOL LEVEL,2005/2006,STANDARD,BC Public School,5,Southeast Kootenay,501009,Isabella Dicken Elementary,,T,,T,,T,T,T,,T,,,,,,
SCHOOL LEVEL,2006/2007,STANDARD,BC Public School,5,Southeast Kootenay,501009,Isabella Dicken Elementary,,T,T,T,,T,T,T,,T,,,,,,
SCHOOL LEVEL,2007/2008,STANDARD,BC Public School,5,Southeast Kootenay,501009,Isabella Dicken Elementary,,T,T,T,,T,T,T,,T,,,,,,
SCHOOL LEVEL,2008/2009,STANDARD,BC Public School,5,Southeast Kootenay,501009,Isabella Dicken Elementary,T,T,T,T,,T,T,T,,T,,,,,,
SCHOOL LEVEL,2009/2010,STANDARD,BC Public School,5,Southeast Kootenay,501009,Isabella Dicken Elementary,T,T,T,T,,T,T,T,,T,,,,,,
SCHOOL LEVEL,2010/2011,STANDARD,BC Public School,5,Southeast Kootenay,501009,Isabella Dicken Elementary,T,T,T,T,,T,T,T,,T,,,,,,
SCHOOL LEVEL,2011/2012,STANDARD,BC Public School,5,Southeast Kootenay,501009,Isabella Dicken Elementary,T,T,T,T,,T,T,T,,T,,,,,,
SCHOOL LEVEL,2012/2013,STANDARD,BC Public School,5,Southeast Kootenay,501009,Isabella Dicken Elementary,T,T,T,T,,T,T,T,,T,,,,,,
SCHOOL LEVEL,2013/2014,STANDARD,BC Public School,5,Southeast Kootenay,501009,Isabella Dicken Elementary,T,T,T,T,,T,T,T,,T,,,,,,
SCHOOL LEVEL,2005/2006,STANDARD,BC Public School,5,Southeast Kootenay,501010,Frank J Mitchell Elementary,,T,,,,,T,T,,T,,,,,,
SCHOOL LEVEL,2006/2007,STANDARD,BC Public School,5,Southeast Kootenay,501010,Frank J Mitchell Elementary,T,T,,,,,T,T,,T,,,,,,
SCHOOL LEVEL,2007/2008,STANDARD,BC Public School,5,Southeast Kootenay,501010,Frank J Mitchell Elementary,T,T,,,,,T,T,,T,,,,,,
SCHOOL LEVEL,2008/2009,STANDARD,BC Public School,5,Southeast Kootenay,501010,Frank J Mitchell Elementary,T,T,,,,,T,T,,T,,,,,,
SCHOOL LEVEL,2009/2010,STANDARD,BC Public School,5,Southeast Kootenay,501010,Frank J Mitchell Elementary,,T,,,,,T,T,,T,,,,,,
SCHOOL LEVEL,2010/2011,STANDARD,BC Public School,5,Southeast Kootenay,501010,Frank J Mitchell Elementary,,T,,,,,T,T,,T,,,,,,
SCHOOL LEVEL,2011/2012,STANDARD,BC Public School,5,Southeast Kootenay,501010,Frank J Mitchell Elementary,T,T,,,,,T,T,,T,,,,,,
SCHOOL LEVEL,2012/2013,STANDARD,BC Public School,5,Southeast Kootenay,501010,Frank J Mitchell Elementary,T,T,,,,,T,T,,T,,,,,,
SCHOOL LEVEL,2013/2014,STANDARD,BC Public School,5,Southeast Kootenay,501010,Frank J Mitchell Elementary,,T,,,,,T,T,,T,,,,,,
SCHOOL LEVEL,2005/2006,STANDARD,BC Public School,5,Southeast Kootenay,501014,Mountain View Elementary,,T,,,,,T,T,,T,,,,,,
SCHOOL LEVEL,2006/2007,STANDARD,BC Public School,5,Southeast Kootenay,501014,Mountain View Elementary,,T,,,,,T,T,,T,,,,,,
SCHOOL LEVEL,2007/2008,STANDARD,BC Public School,5,Southeast Kootenay,501014,Mountain View Elementary,T,T,,,,,T,T,,T,,,,,,
SCHOOL LEVEL,2005/2006,STANDARD,BC Public School,5,Southeast Kootenay,501015,Max Turyk Elementary,,T,,,,,T,T,,T,,,,,,
SCHOOL LEVEL,2006/2007,STANDARD,BC Public School,5,Southeast Kootenay,501015,Max Turyk Elementary,,T,,,,,T,T,,T,,,,,,
SCHOOL LEVEL,2005/2006,STANDARD,BC Public School,5,Southeast Kootenay,501016,Elkford Secondary,,T,,,,,T,T,,T,,,T,,,
